hit,miss,incorrect,rew_location,area_rewarded,time_to_reward,trial_start_time,end_trial_time,mouse_enter_time,first_reward_area_visited,entrance1,entrance2,rewA,rewB,rewC,rewD,rew_location.1,state_sequence,video_segment_path,matched_trial_id,avg_speed_px_per_frame,max_speed_px_per_frame,min_speed_px_per_frame
,1.0,,B,,,2061778.0,2091827.0,2089452.0,,565.0,212.0,,,,,B,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_030.mp4,trial_030,2.2700149456072922,16.562164569865296,0.0
1.0,,,C,C,169351.0,2091844.0,2319579.0,2250605.0,rewC,373.0,230.0,,,39357.0,,C,"2, 4",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_031.mp4,trial_031,0.4977909128611153,15.008229312642147,0.0
,,1.0,B,,,2319594.0,2362412.0,2345386.0,rewA,1427.0,1324.0,4584.0,,1069.0,3095.0,B,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_032.mp4,trial_032,1.760138440078144,19.637824080075685,0.0
,1.0,,B,,,2362427.0,2383364.0,2380503.0,,685.0,252.0,,,,,B,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_033.mp4,trial_033,2.6584311792005977,13.392767782068967,0.0
,1.0,,A,,,2383376.0,2392847.0,2391402.0,,289.0,229.0,,,,,A,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_034.mp4,trial_034,4.863556689443708,18.499567568409958,0.0
,1.0,,D,,,2392861.0,2400717.0,,,1236.0,364.0,,,,,D,"1, 3",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_035.mp4,trial_035,0.9210232365715728,17.088570527955262,0.0
,1.0,,B,,,2400727.0,2406899.0,,,3535.0,2801.0,,,,,B,,,,,,
,1.0,,B,,,2406913.0,2546658.0,,rewB,174.0,1396.0,6627.0,10647.0,,,B,,,,,,
,1.0,,C,,,2546675.0,2565235.0,,,17551.0,3423.0,,,,,C,3,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_036.mp4,trial_036,0.5669177542457972,17.438484806161476,0.0
,,1.0,A,,,2565246.0,2596033.0,,rewC,3405.0,1954.0,,2388.0,1972.0,,A,,,,,,
,1.0,,C,,,2596045.0,2618881.0,2598699.0,,3167.0,7859.0,,,,,C,,,,,,
,,1.0,D,,,2618884.0,2674081.0,2624840.0,rewB,4289.0,2995.0,837.0,404.0,1012.0,,D,"3, 1, 3",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_037.mp4,trial_037,0.8536390382912334,14.91460026952449,0.0
,,1.0,C,,,2674086.0,2721961.0,2688156.0,rewB,1347.0,1206.0,,2885.0,1381.0,,C,"1, 3, 1",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_038.mp4,trial_038,0.9234947001208234,27.169882460960313,0.0
1.0,,,B,B,41039.0,2721970.0,2823364.0,2759286.0,rewB,8030.0,544.0,,26263.0,,,B,"2, 1",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_039.mp4,trial_039,0.4654771631849603,19.08529552686191,0.0
,,1.0,A,,,2823369.0,2903435.0,2834845.0,rewC,2996.0,948.0,6772.0,565.0,18450.0,7273.0,A,"1, 4, 1",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_040.mp4,trial_040,0.8348483333831896,10.418605290266944,0.0
1.0,,,B,B,15497.0,2903450.0,2999745.0,2911306.0,rewB,2080.0,1113.0,,56331.0,,,B,"3, 2, 4, 3, 4",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_041.mp4,trial_041,0.3890823567254464,20.999431690803593,0.0
,1.0,,C,,,2999749.0,3008694.0,3008653.0,,2646.0,147.0,,,,,C,,,,,,
,,1.0,A,,,3008698.0,3051217.0,,rewB,736.0,301.0,2118.0,13069.0,1254.0,,A,"1,3,1, 3, 1",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_042.mp4,trial_042,0.9231213038329138,24.666751075798388,0.0
